raw_tokens,loop_id,direction,type,station_name,allowed_trains,loop_velocity_kmph,uplinks,uplink_lengths_km,uplink_priorities,start_km,end_km
"['10001', 'up', 'ml', 'Gonda-(gd)', 'all', '110', '10010', '0.0', '1', '#', '', '', '', '', '', '', '']",10001,up,ml,Gonda-(gd),all,110,['10010'],[0.0],[1],0,1
"['10101', 'up', 'loop', 'Gonda-(gd)', 'all', '15', '10010', '0.0', '1', '#', '', '', '', '', '', '', '']",10101,up,loop,Gonda-(gd),all,15,['10010'],[0.0],[1],0,1
"['11001', 'down', 'ml', 'Gonda-(gd)', 'all', '110', '', '', '', '', '', '', '', '', '', '', '']",11001,down,ml,Gonda-(gd),all,110,[],[],[],11001,110
"['11101', 'down', 'loop', 'Gonda-(gd)', 'all', '15', '', '', '', '', '', '', '', '', '', '', '']",11101,down,loop,Gonda-(gd),all,15,[],[],[],11101,15
"['20001', 'up', 'ml', 'Gonda-Kachehari-(gdk)', 'all', '110', '20010', '0.0', '1', '#', '', '', '', '', '', '', '']",20001,up,ml,Gonda-Kachehari-(gdk),all,110,['20010'],[0.0],[1],0,1
"['20101', 'up', 'loop', 'Gonda-Kachehari-(gdk)', 'all', '15', '20010', '0.0', '1', '#', '', '', '', '', '', '', '']",20101,up,loop,Gonda-Kachehari-(gdk),all,15,['20010'],[0.0],[1],0,1
"['21001', 'down', 'ml', 'Gonda-Kachehari-(gdk)', 'all', '110', '', '', '', '', '11010', '0.0', '1', '#', '', '', '']",21001,down,ml,Gonda-Kachehari-(gdk),all,110,[],[],[],0,1
"['21101', 'down', 'loop', 'Gonda-Kachehari-(gdk)', 'all', '15', '', '', '', '', '11010', '0.0', '1', '#', '', '', '']",21101,down,loop,Gonda-Kachehari-(gdk),all,15,[],[],[],0,1
"['30001', 'up', 'ml', 'Maijapur-(mir)', 'all', '110', '30010', '0.0', '1', '#', '', '', '', '', '', '', '']",30001,up,ml,Maijapur-(mir),all,110,['30010'],[0.0],[1],0,1
"['30101', 'up', 'loop', 'Maijapur-(mir)', 'all', '15', '30010', '0.0', '1', '#', '', '', '', '', '', '', '']",30101,up,loop,Maijapur-(mir),all,15,['30010'],[0.0],[1],0,1
"['31001', 'down', 'ml', 'Maijapur-(mir)', 'all', '110', '', '', '', '', '21010', '0.0', '1', '#', '', '', '']",31001,down,ml,Maijapur-(mir),all,110,[],[],[],0,1
"['31101', 'down', 'loop', 'Maijapur-(mir)', 'all', '15', '', '', '', '', '21010', '0.0', '1', '#', '', '', '']",31101,down,loop,Maijapur-(mir),all,15,[],[],[],0,1
"['40001', 'up', 'ml', 'Carnailganj-(clj)', 'all', '110', '40010', '0.0', '1', '#', '', '', '', '', '', '', '']",40001,up,ml,Carnailganj-(clj),all,110,['40010'],[0.0],[1],0,1
"['40101', 'up', 'loop', 'Carnailganj-(clj)', 'all', '15', '40010', '0.0', '1', '#', '', '', '', '', '', '', '']",40101,up,loop,Carnailganj-(clj),all,15,['40010'],[0.0],[1],0,1
"['41001', 'down', 'ml', 'Carnailganj-(clj)', 'all', '110', '', '', '', '', '31010', '0.0', '1', '#', '', '', '']",41001,down,ml,Carnailganj-(clj),all,110,[],[],[],0,1
"['41101', 'down', 'loop', 'Carnailganj-(clj)', 'all', '15', '', '', '', '', '31010', '0.0', '1', '#', '', '', '']",41101,down,loop,Carnailganj-(clj),all,15,[],[],[],0,1
"['50001', 'up', 'ml', 'Saryu-(suj)', 'all', '110', '50010', '0.0', '1', '#', '', '', '', '', '', '', '']",50001,up,ml,Saryu-(suj),all,110,['50010'],[0.0],[1],0,1
"['50101', 'up', 'loop', 'Saryu-(suj)', 'all', '15', '50010', '0.0', '1', '#', '', '', '', '', '', '', '']",50101,up,loop,Saryu-(suj),all,15,['50010'],[0.0],[1],0,1
"['51001', 'down', 'ml', 'Saryu-(suj)', 'all', '110', '', '', '', '', '41010', '0.0', '1', '#', '', '', '']",51001,down,ml,Saryu-(suj),all,110,[],[],[],0,1
"['51101', 'down', 'loop', 'Saryu-(suj)', 'all', '15', '', '', '', '', '41010', '0.0', '1', '#', '', '', '']",51101,down,loop,Saryu-(suj),all,15,[],[],[],0,1
"['60001', 'up', 'ml', 'Jarwal-Road-(jld)', 'all', '110', '60010', '0.0', '1', '#', '', '', '', '', '', '', '']",60001,up,ml,Jarwal-Road-(jld),all,110,['60010'],[0.0],[1],0,1
