train_no,stop_idx,loop_id,arrival_time_min,arrival_time_str,departure_time_min,departure_time_str
12541,0,10101,25,0:25:00,30,0:30:00
12541,1,120001,130,2:10:00,130,2:10:00
15279,0,10101,50,0:50:00,55,0:55:00
15279,1,120001,155,2:35:00,155,2:35:00
19270,0,10101,70,1:10:00,80,1:20:00
19270,1,70101,128,2:08:00,141,2:21:00
19270,2,120001,205,3:25:00,205,3:25:00
15708,0,121101,95,1:35:00,97,1:37:00
15708,1,11101,175,2:55:00,180,3:00:00
11015,0,121101,158,2:38:00,160,2:40:00
11015,1,11101,235,3:55:00,240,4:00:00
55050,0,121001,410,6:50:00,412,6:52:00
55050,1,111001,422,7:02:00,424,7:04:00
55050,2,101001,436,7:16:00,438,7:18:00
55050,3,91001,447,7:27:00,449,7:29:00
55050,4,81001,456,7:36:00,458,7:38:00
55050,5,71001,464,7:44:00,466,7:46:00
55050,6,61001,474,7:54:00,489,8:09:00
55050,7,51001,497,8:17:00,499,8:19:00
55050,8,41001,506,8:26:00,508,8:28:00
55050,9,31001,521,8:41:00,523,8:43:00
55050,10,21001,538,8:58:00,563,9:23:00
55050,11,11001,575,9:35:00,655,10:55:00
15007,0,10101,145,2:25:00,150,2:30:00
15007,1,40101,175,2:55:00,177,2:57:00
15007,2,60101,196,3:16:00,198,3:18:00
15007,3,90101,216,3:36:00,218,3:38:00
15007,4,120101,255,4:15:00,257,4:17:00
15909,0,10101,170,2:50:00,175,2:55:00
15909,1,60101,220,3:40:00,222,3:42:00
15909,2,120001,275,4:35:00,277,4:37:00
12203,0,10101,195,3:15:00,195,3:15:00
12203,1,120001,293,4:53:00,293,4:53:00
15009,0,10101,210,3:30:00,215,3:35:00
15009,1,120001,320,5:20:00,322,5:22:00
15114,0,10101,250,4:10:00,255,4:15:00
15114,1,120001,390,6:30:00,392,6:32:00
55035,0,10001,290,4:50:00,290,4:50:00
55035,1,20001,300,5:00:00,302,5:02:00
55035,2,30001,313,5:13:00,315,5:15:00
55035,3,40001,325,5:25:00,327,5:27:00
55035,4,50001,337,5:37:00,339,5:39:00
55035,5,60001,347,5:47:00,363,6:03:00
55035,6,70001,372,6:12:00,374,6:14:00
